TIME	Discharge	H-Well	Concentration
  1000459.3    	 -66850.000    	  147.71767    	 -1.0000000    
  1000473.9    	 -66850.000    	  148.01060    	 -1.0000000    
  1000488.6    	 -66850.000    	  148.29776    	 -1.0000000    
  1000503.2    	 -66850.000    	  148.57939    	 -1.0000000    
  1000517.8    	 -66850.000    	  148.85568    	 -1.0000000    
  1000532.4    	 -66850.000    	  149.12681    	 -1.0000000    
  1000547.1    	 -66850.000    	  149.39297    	 -1.0000000    
  1000561.7    	 -66850.000    	  149.65431    	 -1.0000000    
  1000576.3    	 -66850.000    	  149.90954    	 -1.0000000    
  1000590.9    	 -66850.000    	  150.16006    	 -1.0000000    
  1000605.6    	 -66850.000    	  150.40604    	 -1.0000000    
  1000620.2    	 -66850.000    	  150.64778    	 -1.0000000    
  1000634.8    	 -66850.000    	  150.88576    	 -1.0000000    
  1000649.4    	 -66850.000    	  151.11966    	 -1.0000000    
  1000664.1    	 -66850.000    	  151.34954    	 -1.0000000    
  1000678.7    	 -66850.000    	  151.57551    	 -1.0000000    
  1000693.3    	 -66850.000    	  151.79764    	 -1.0000000    
  1000707.9    	 -66850.000    	  152.01603    	 -1.0000000    
  1000722.6    	 -66850.000    	  152.23081    	 -1.0000000    
  1000737.2    	 -66850.000    	  152.44204    	 -1.0000000    
  1000751.8    	 -66850.000    	  152.64983    	 -1.0000000    
  1000766.4    	 -66850.000    	  152.85433    	 -1.0000000    
  1000781.1    	 -66850.000    	  153.05562    	 -1.0000000    
  1000795.7    	 -66850.000    	  153.25377    	 -1.0000000    
  1000810.3    	 -66850.000    	  153.44884    	 -1.0000000    
  1000824.9    	 -66850.000    	  153.64091    	 -1.0000000    
  1000839.6    	 -66850.000    	  153.83004    	 -1.0000000    
  1000854.2    	 -66850.000    	  154.01630    	 -1.0000000    
  1000868.8    	 -66850.000    	  154.19974    	 -1.0000000    
  1000883.4    	 -66850.000    	  154.38042    	 -1.0000000    
  1000898.1    	 -66850.000    	  154.55839    	 -1.0000000    
  1000912.7    	 -66850.000    	  154.73372    	 -1.0000000    
  1000927.3    	 -66850.000    	  154.90644    	 -1.0000000    
  1000941.9    	 -66850.000    	  155.07662    	 -1.0000000    
  1000956.6    	 -66850.000    	  155.24431    	 -1.0000000    
  1000971.2    	 -66850.000    	  155.40960    	 -1.0000000    
